,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
1791,Mannheimia~virus~PHL101,Caudovirales,Myoviridae,P2virus,99_0,Clustered,29,VC_99_0,29,0.8448,1.0,0.8448,1,1,1,1.0
1792,Marine~gokushovirus,Unassigned,Microviridae,Unassigned,284_0,Clustered,13,VC_284_0,13,0.8242,1.0,0.8242,3,2,1,1.0
1793,Methanobacterium~phage~psiM2,Caudovirales,Siphoviridae,Unassigned,737_0,Clustered,2,VC_737_0,2,1.0,1.0,1.0,1,1,1,1.0
1794,Methanothermobacter~phage~psiM100,Caudovirales,Siphoviridae,Unassigned,737_0,Clustered,2,VC_737_0,2,1.0,1.0,1.0,1,1,1,1.0
1795,Microbacterium~phage~vB_MoxS-ISF9,Caudovirales,Siphoviridae,Unassigned,571_0,Clustered,3,VC_571_0,3,0.9125,0.9595722,0.8756,1,1,1,1.0
1796,Microcystis~phage~MaMV-DC,Caudovirales,Myoviridae,Unassigned,738_0,Clustered,2,VC_738_0,2,1.0,1.0,1.0,1,1,1,1.0
1797,Microcystis~virus~Ma-LMM01,Caudovirales,Myoviridae,Unassigned,738_0,Clustered,2,VC_738_0,2,1.0,1.0,1.0,1,1,1,1.0
1798,Microviridae~Bog1249_12,Unassigned,Microviridae,Unassigned,301_0,Clustered,10,VC_301_0,10,0.984,0.99955465,0.9836,1,1,1,1.0
1799,Microviridae~Bog5275_51,Unassigned,Microviridae,Unassigned,301_0,Clustered,10,VC_301_0,10,0.984,0.99955465,0.9836,1,1,1,1.0
1800,Microviridae~Bog9017_22,Unassigned,Microviridae,Unassigned,301_0,Clustered,10,VC_301_0,10,0.984,0.99955465,0.9836,1,1,1,1.0
1801,Microviridae~Fen2266_11,Unassigned,Microviridae,Unassigned,301_0,Clustered,10,VC_301_0,10,0.984,0.99955465,0.9836,1,1,1,1.0
1802,Microviridae~Fen418_41,Unassigned,Microviridae,Unassigned,301_0,Clustered,10,VC_301_0,10,0.984,0.99955465,0.9836,1,1,1,1.0
1803,Microviridae~Fen4707_41,Unassigned,Microviridae,Unassigned,301_0,Clustered,10,VC_301_0,10,0.984,0.99955465,0.9836,1,1,1,1.0
1804,Microviridae~Fen685_11,Unassigned,Microviridae,Unassigned,301_0,Clustered,10,VC_301_0,10,0.984,0.99955465,0.9836,1,1,1,1.0
1805,Microviridae~Fen7786_21,Unassigned,Microviridae,Unassigned,301_0,Clustered,10,VC_301_0,10,0.984,0.99955465,0.9836,1,1,1,1.0
1806,Microviridae~Fen7895_21,Unassigned,Microviridae,Unassigned,301_0,Clustered,10,VC_301_0,10,0.984,0.99955465,0.9836,1,1,1,1.0
1807,Microviridae~Fen7918_21,Unassigned,Microviridae,Unassigned,301_0,Clustered,10,VC_301_0,10,0.984,0.99955465,0.9836,1,1,1,1.0
1808,Morganella~phage~MmP1,Caudovirales,Podoviridae,T7virus,57_0,Clustered,62,VC_57_0,62,0.8483,1.0,0.8483,3,2,2,1.0
1809,Morganella~phage~vB_MmoM_MP1,Caudovirales,Myoviridae,Unassigned,59_21,Clustered,2,VC_59_21,2,0.0067,0.95758395,0.0065,1,1,1,1.0
1810,Morganella~phage~vB_MmoP_MP2,Caudovirales,Podoviridae,T7virus,57_0,Clustered,62,VC_57_0,62,0.8483,1.0,0.8483,3,2,2,1.0
1811,Mycobacterium~phage~20ES,Caudovirales,Siphoviridae,L5virus,703_1,Clustered,58,VC_703_1,58,0.4894,1.0,0.4894,1,1,1,0.7544
1812,Mycobacterium~phage~39HC,Caudovirales,Siphoviridae,Unassigned,93_3,Clustered,15,VC_93_3,15,0.2799,1.0,0.2799,3,1,1,0.8
1813,Mycobacterium~phage~40AC,Caudovirales,Siphoviridae,L5virus,703_1,Clustered,58,VC_703_1,58,0.4894,1.0,0.4894,1,1,1,0.7544
1814,Mycobacterium~phage~Abrogate,Caudovirales,Siphoviridae,L5virus,722_0,Clustered,46,VC_722_0,46,0.4958,1.0,0.4958,1,1,1,1.0
1815,Mycobacterium~phage~Adawi,Caudovirales,Siphoviridae,Coopervirus,93_3,Clustered,15,VC_93_3,15,0.2799,1.0,0.2799,3,1,1,0.8
1816,Mycobacterium~phage~Adzzy,Caudovirales,Siphoviridae,L5virus,703_1,Clustered,58,VC_703_1,58,0.4894,1.0,0.4894,1,1,1,0.7544
1817,Mycobacterium~phage~Aeneas,Caudovirales,Siphoviridae,L5virus,722_0,Clustered,46,VC_722_0,46,0.4958,1.0,0.4958,1,1,1,1.0
1818,Mycobacterium~phage~Akoma,Caudovirales,Siphoviridae,Pipefishvirus,93_0,Clustered,6,VC_93_0,6,0.1749,1.0,0.1749,1,1,1,1.0
1819,Mycobacterium~phage~Alice,Caudovirales,Myoviridae,Bxz1virus,240_0,Clustered,19,VC_240_0,19,0.9147,1.0,0.9147,1,1,1,1.0
1820,Mycobacterium~phage~Alsfro,Caudovirales,Siphoviridae,L5virus,722_0,Clustered,46,VC_722_0,46,0.4958,1.0,0.4958,1,1,1,1.0
1821,Mycobacterium~phage~Alvin,Caudovirales,Siphoviridae,L5virus,722_0,Clustered,46,VC_722_0,46,0.4958,1.0,0.4958,1,1,1,1.0
1822,Mycobacterium~phage~Angel,Caudovirales,Siphoviridae,Liefievirus,713_0,Clustered,9,VC_713_0,9,0.5113,1.0,0.5113,1,1,1,1.0
1823,Mycobacterium~phage~AnnaL29,Caudovirales,Siphoviridae,L5virus,703_1,Clustered,58,VC_703_1,58,0.4894,1.0,0.4894,1,1,1,0.7544
1824,Mycobacterium~phage~Anubis,Caudovirales,Siphoviridae,L5virus,703_1,Clustered,58,VC_703_1,58,0.4894,1.0,0.4894,1,1,1,0.7544
1825,Mycobacterium~phage~Apizium,Caudovirales,Siphoviridae,Pg1virus,93_1,Clustered,20,VC_93_1,20,0.5124,1.0,0.5124,1,1,1,1.0
1826,Mycobacterium~phage~ArcherNM,Caudovirales,Siphoviridae,L5virus,703_1,Clustered,58,VC_703_1,58,0.4894,1.0,0.4894,1,1,1,0.7544
1827,Mycobacterium~phage~ArcherS7,Caudovirales,Myoviridae,Bxz1virus,240_0,Clustered,19,VC_240_0,19,0.9147,1.0,0.9147,1,1,1,1.0
1828,Mycobacterium~phage~Archie,Caudovirales,Siphoviridae,Bronvirus,705_0,Clustered,9,VC_705_0,9,0.6441,1.0,0.6441,2,1,1,0.9722
1829,Mycobacterium~phage~Ariel,Caudovirales,Siphoviridae,Omegavirus,723_0,Clustered,3,VC_723_0,3,0.0796,0.99806031,0.0794,1,1,1,1.0
1830,Mycobacterium~phage~Artemis2UCLA,Caudovirales,Siphoviridae,L5virus,703_1,Clustered,58,VC_703_1,58,0.4894,1.0,0.4894,1,1,1,0.7544
1831,Mycobacterium~phage~Astraea,Caudovirales,Myoviridae,Bxz1virus,240_0,Clustered,19,VC_240_0,19,0.9147,1.0,0.9147,1,1,1,1.0
1832,Mycobacterium~phage~BTCU-1,Caudovirales,Siphoviridae,L5virus,703_1,Clustered,58,VC_703_1,58,0.4894,1.0,0.4894,1,1,1,0.7544
1833,Mycobacterium~phage~Bactobuster,Caudovirales,Siphoviridae,L5virus,703_1,Clustered,58,VC_703_1,58,0.4894,1.0,0.4894,1,1,1,0.7544
1834,Mycobacterium~phage~Badfish,Caudovirales,Siphoviridae,Pg1virus,93_1,Clustered,20,VC_93_1,20,0.5124,1.0,0.5124,1,1,1,1.0
1835,Mycobacterium~phage~Baee,Caudovirales,Siphoviridae,Acadianvirus,93_3,Clustered,15,VC_93_3,15,0.2799,1.0,0.2799,3,1,1,0.8
1836,Mycobacterium~phage~Bane1,Caudovirales,Siphoviridae,Coopervirus,93_3,Clustered,15,VC_93_3,15,0.2799,1.0,0.2799,3,1,1,0.8
1837,Mycobacterium~phage~Barnyard,Caudovirales,Siphoviridae,Barnyardvirus,682_0,Clustered,6,VC_682_0,6,0.6669,1.0,0.6669,2,1,1,1.0
1838,Mycobacterium~phage~BarrelRoll,Caudovirales,Siphoviridae,Tm4virus,712_2,Clustered,12,VC_712_2,12,0.4468,1.0,0.4468,1,1,1,0.9848
1839,Mycobacterium~phage~Barriga,Caudovirales,Siphoviridae,L5virus,722_0,Clustered,46,VC_722_0,46,0.4958,1.0,0.4958,1,1,1,1.0
1840,Mycobacterium~phage~BellusTerra,Caudovirales,Siphoviridae,L5virus,703_1,Clustered,58,VC_703_1,58,0.4894,1.0,0.4894,1,1,1,0.7544
1841,Mycobacterium~phage~Bernardo,Caudovirales,Siphoviridae,Pipefishvirus,93_0,Clustered,6,VC_93_0,6,0.1749,1.0,0.1749,1,1,1,1.0
1842,Mycobacterium~phage~Bipolar,Caudovirales,Siphoviridae,Che8virus,717_0,Clustered,39,VC_717_0,39,0.7035,1.0,0.7035,1,1,1,0.888
1843,Mycobacterium~phage~Blue7,Caudovirales,Siphoviridae,L5virus,703_1,Clustered,58,VC_703_1,58,0.4894,1.0,0.4894,1,1,1,0.7544
1844,Mycobacterium~phage~Bobi,Caudovirales,Siphoviridae,Che8virus,717_1,Clustered,4,VC_717_1,4,0.0362,0.99812253,0.0362,1,1,1,0.6667
1845,Mycobacterium~phage~Breeniome,Caudovirales,Myoviridae,Bxz1virus,240_0,Clustered,19,VC_240_0,19,0.9147,1.0,0.9147,1,1,1,1.0
1846,Mycobacterium~phage~Brocalys,Caudovirales,Siphoviridae,Che8virus,717_0,Clustered,39,VC_717_0,39,0.7035,1.0,0.7035,1,1,1,0.888
1847,Mycobacterium~phage~BrownCNA,Caudovirales,Siphoviridae,Coopervirus,93_3,Clustered,15,VC_93_3,15,0.2799,1.0,0.2799,3,1,1,0.8
1848,Mycobacterium~phage~Bruin,Caudovirales,Siphoviridae,Cjw1virus,740_0,Clustered,21,VC_740_0,21,0.8504,1.0,0.8504,1,1,1,1.0
1849,Mycobacterium~phage~Butters,Caudovirales,Siphoviridae,Buttersvirus,710_0,Clustered,7,VC_710_0,7,0.2069,1.0,0.2069,3,1,1,1.0
1850,Mycobacterium~phage~BuzzLyseyear,Caudovirales,Siphoviridae,Che8virus,717_0,Clustered,39,VC_717_0,39,0.7035,1.0,0.7035,1,1,1,0.888
1851,Mycobacterium~phage~Bxz1,Caudovirales,Myoviridae,Bxz1virus,240_0,Clustered,19,VC_240_0,19,0.9147,1.0,0.9147,1,1,1,1.0
1852,Mycobacterium~phage~CASbig,Caudovirales,Siphoviridae,L5virus,722_0,Clustered,46,VC_722_0,46,0.4958,1.0,0.4958,1,1,1,1.0
1853,Mycobacterium~phage~CRB1,Caudovirales,Siphoviridae,L5virus,703_1,Clustered,58,VC_703_1,58,0.4894,1.0,0.4894,1,1,1,0.7544
1854,Mycobacterium~phage~Cabrinians,Caudovirales,Siphoviridae,Che8virus,717_0,Clustered,39,VC_717_0,39,0.7035,1.0,0.7035,1,1,1,0.888
1855,Mycobacterium~phage~Cali,Caudovirales,Myoviridae,Bxz1virus,240_0,Clustered,19,VC_240_0,19,0.9147,1.0,0.9147,1,1,1,1.0
1856,Mycobacterium~phage~Cambiare,Caudovirales,Siphoviridae,Liefievirus,713_0,Clustered,9,VC_713_0,9,0.5113,1.0,0.5113,1,1,1,1.0
1857,Mycobacterium~phage~CaptainTrips,Caudovirales,Siphoviridae,Che8virus,717_0,Clustered,39,VC_717_0,39,0.7035,1.0,0.7035,1,1,1,0.888
1858,Mycobacterium~phage~Carcharodon,Caudovirales,Siphoviridae,Charlievirus,710_0,Clustered,7,VC_710_0,7,0.2069,1.0,0.2069,3,1,1,1.0
1859,Mycobacterium~phage~Catalina,Caudovirales,Siphoviridae,L5virus,703_1,Clustered,58,VC_703_1,58,0.4894,1.0,0.4894,1,1,1,0.7544
1860,Mycobacterium~phage~Catdawg,Caudovirales,Siphoviridae,Corndogvirus,714_0,Clustered,4,VC_714_0,4,0.3898,0.99998661,0.3898,1,1,1,1.0
1861,Mycobacterium~phage~Catera,Caudovirales,Myoviridae,Bxz1virus,240_0,Clustered,19,VC_240_0,19,0.9147,1.0,0.9147,1,1,1,1.0
1862,Mycobacterium~phage~Cerasum,Caudovirales,Siphoviridae,Che8virus,717_1,Clustered,4,VC_717_1,4,0.0362,0.99812253,0.0362,1,1,1,0.6667
1863,Mycobacterium~phage~Chadwick,Caudovirales,Siphoviridae,L5virus,703_0,Clustered,9,VC_703_0,9,0.0803,1.0,0.0803,1,1,1,1.0
1864,Mycobacterium~phage~Charlie,Caudovirales,Siphoviridae,Charlievirus,710_0,Clustered,7,VC_710_0,7,0.2069,1.0,0.2069,3,1,1,1.0
1865,Mycobacterium~phage~Cheetobro,Caudovirales,Siphoviridae,Tm4virus,712_0,Clustered,2,VC_712_0,2,0.0668,0.95663219,0.0639,1,1,1,1.0
1866,Mycobacterium~phage~Chy4,Caudovirales,Siphoviridae,L5virus,703_1,Clustered,58,VC_703_1,58,0.4894,1.0,0.4894,1,1,1,0.7544
1867,Mycobacterium~phage~Chy5,Caudovirales,Siphoviridae,L5virus,703_1,Clustered,58,VC_703_1,58,0.4894,1.0,0.4894,1,1,1,0.7544
1868,Mycobacterium~phage~CloudWang3,Caudovirales,Siphoviridae,L5virus,703_1,Clustered,58,VC_703_1,58,0.4894,1.0,0.4894,1,1,1,0.7544
1869,Mycobacterium~phage~Colbert,Caudovirales,Siphoviridae,Pg1virus,93_1,Clustered,20,VC_93_1,20,0.5124,1.0,0.5124,1,1,1,1.0
1870,Mycobacterium~phage~Conspiracy,Caudovirales,Siphoviridae,L5virus,703_0,Clustered,9,VC_703_0,9,0.0803,1.0,0.0803,1,1,1,1.0
1871,Mycobacterium~phage~Contagion,Caudovirales,Siphoviridae,Cjw1virus,740_0,Clustered,21,VC_740_0,21,0.8504,1.0,0.8504,1,1,1,1.0
1872,Mycobacterium~phage~Cooper,Caudovirales,Siphoviridae,Coopervirus,93_3,Clustered,15,VC_93_3,15,0.2799,1.0,0.2799,3,1,1,0.8
1873,Mycobacterium~phage~Crossroads,Caudovirales,Siphoviridae,Bronvirus,705_0,Clustered,9,VC_705_0,9,0.6441,1.0,0.6441,2,1,1,0.9722
1874,Mycobacterium~phage~DD5,Caudovirales,Siphoviridae,L5virus,722_0,Clustered,46,VC_722_0,46,0.4958,1.0,0.4958,1,1,1,1.0
1875,Mycobacterium~phage~Daenerys,Caudovirales,Siphoviridae,Che8virus,717_0,Clustered,39,VC_717_0,39,0.7035,1.0,0.7035,1,1,1,0.888
1876,Mycobacterium~phage~Damien,Caudovirales,Siphoviridae,Barnyardvirus,682_0,Clustered,6,VC_682_0,6,0.6669,1.0,0.6669,2,1,1,1.0
1877,Mycobacterium~phage~Dandelion,Caudovirales,Myoviridae,Bxz1virus,240_0,Clustered,19,VC_240_0,19,0.9147,1.0,0.9147,1,1,1,1.0
1878,Mycobacterium~phage~Dante,Caudovirales,Siphoviridae,Che8virus,717_0,Clustered,39,VC_717_0,39,0.7035,1.0,0.7035,1,1,1,0.888
1879,Mycobacterium~phage~DrDrey,Caudovirales,Siphoviridae,Cjw1virus,740_0,Clustered,21,VC_740_0,21,0.8504,1.0,0.8504,1,1,1,1.0
1880,Mycobacterium~phage~Dreamboat,Caudovirales,Siphoviridae,L5virus,722_0,Clustered,46,VC_722_0,46,0.4958,1.0,0.4958,1,1,1,1.0
1881,Mycobacterium~phage~Dumbo,Caudovirales,Siphoviridae,Cjw1virus,740_0,Clustered,21,VC_740_0,21,0.8504,1.0,0.8504,1,1,1,1.0
1882,Mycobacterium~phage~Dusk,Caudovirales,Siphoviridae,Cjw1virus,740_0,Clustered,21,VC_740_0,21,0.8504,1.0,0.8504,1,1,1,1.0
1883,Mycobacterium~phage~Dylan,Caudovirales,Siphoviridae,Corndogvirus,714_0,Clustered,4,VC_714_0,4,0.3898,0.99998661,0.3898,1,1,1,1.0
1884,Mycobacterium~phage~ET08,Caudovirales,Myoviridae,Bxz1virus,240_0,Clustered,19,VC_240_0,19,0.9147,1.0,0.9147,1,1,1,1.0
1885,Mycobacterium~phage~EagleEye,Caudovirales,Siphoviridae,L5virus,703_1,Clustered,58,VC_703_1,58,0.4894,1.0,0.4894,1,1,1,0.7544
1886,Mycobacterium~phage~Echild,Caudovirales,Siphoviridae,L5virus,703_1,Clustered,58,VC_703_1,58,0.4894,1.0,0.4894,1,1,1,0.7544
1887,Mycobacterium~phage~Edtherson,Caudovirales,Siphoviridae,L5virus,722_0,Clustered,46,VC_722_0,46,0.4958,1.0,0.4958,1,1,1,1.0
1888,Mycobacterium~phage~Enkosi,Caudovirales,Siphoviridae,Tm4virus,712_2,Clustered,12,VC_712_2,12,0.4468,1.0,0.4468,1,1,1,0.9848
1889,Mycobacterium~phage~Equemioh13,Caudovirales,Siphoviridae,L5virus,703_1,Clustered,58,VC_703_1,58,0.4894,1.0,0.4894,1,1,1,0.7544
1890,Mycobacterium~phage~Eremos,Caudovirales,Siphoviridae,Pg1virus,93_1,Clustered,20,VC_93_1,20,0.5124,1.0,0.5124,1,1,1,1.0
1891,Mycobacterium~phage~Estave1,Caudovirales,Siphoviridae,Che8virus,717_0,Clustered,39,VC_717_0,39,0.7035,1.0,0.7035,1,1,1,0.888
1892,Mycobacterium~phage~EvilGenius,Caudovirales,Siphoviridae,L5virus,703_1,Clustered,58,VC_703_1,58,0.4894,1.0,0.4894,1,1,1,0.7544
1893,Mycobacterium~phage~First,Caudovirales,Siphoviridae,L5virus,703_1,Clustered,58,VC_703_1,58,0.4894,1.0,0.4894,1,1,1,0.7544
1894,Mycobacterium~phage~FlagStaff,Caudovirales,Siphoviridae,Liefievirus,713_0,Clustered,9,VC_713_0,9,0.5113,1.0,0.5113,1,1,1,1.0
1895,Mycobacterium~phage~Florinda,Caudovirales,Siphoviridae,Che8virus,717_0,Clustered,39,VC_717_0,39,0.7035,1.0,0.7035,1,1,1,0.888
1896,Mycobacterium~phage~Fredward,Caudovirales,Siphoviridae,L5virus,703_0,Clustered,9,VC_703_0,9,0.0803,1.0,0.0803,1,1,1,1.0
1897,Mycobacterium~phage~Gadjet,Caudovirales,Siphoviridae,Pipefishvirus,93_0,Clustered,6,VC_93_0,6,0.1749,1.0,0.1749,1,1,1,1.0
1898,Mycobacterium~phage~Gardann,Caudovirales,Siphoviridae,Bronvirus,705_0,Clustered,9,VC_705_0,9,0.6441,1.0,0.6441,2,1,1,0.9722
1899,Mycobacterium~phage~Gengar,Caudovirales,Siphoviridae,Tm4virus,712_1,Clustered,5,VC_712_1,5,0.2231,0.99999995,0.2231,1,1,1,1.0
1900,Mycobacterium~phage~Gizmo,Caudovirales,Myoviridae,Bxz1virus,240_0,Clustered,19,VC_240_0,19,0.9147,1.0,0.9147,1,1,1,1.0
1901,Mycobacterium~phage~Goku,Caudovirales,Siphoviridae,Cjw1virus,740_0,Clustered,21,VC_740_0,21,0.8504,1.0,0.8504,1,1,1,1.0
1902,Mycobacterium~phage~Gompeii16,Caudovirales,Siphoviridae,L5virus,722_0,Clustered,46,VC_722_0,46,0.4958,1.0,0.4958,1,1,1,1.0
1903,Mycobacterium~phage~Graduation,Caudovirales,Siphoviridae,L5virus,722_0,Clustered,46,VC_722_0,46,0.4958,1.0,0.4958,1,1,1,1.0
1904,Mycobacterium~phage~Gumball,Caudovirales,Siphoviridae,Pbi1virus,683_0,Clustered,5,VC_683_0,5,0.6305,0.99999969,0.6305,3,1,1,1.0
1905,Mycobacterium~phage~HINdeR,Caudovirales,Siphoviridae,L5virus,703_1,Clustered,58,VC_703_1,58,0.4894,1.0,0.4894,1,1,1,0.7544
1906,Mycobacterium~phage~Hades,Caudovirales,Siphoviridae,Che8virus,717_0,Clustered,39,VC_717_0,39,0.7035,1.0,0.7035,1,1,1,0.888
1907,Mycobacterium~phage~Hamulus,Caudovirales,Siphoviridae,Che8virus,717_0,Clustered,39,VC_717_0,39,0.7035,1.0,0.7035,1,1,1,0.888
1908,Mycobacterium~phage~HanShotFirst,Caudovirales,Siphoviridae,L5virus,722_0,Clustered,46,VC_722_0,46,0.4958,1.0,0.4958,1,1,1,1.0
1909,Mycobacterium~phage~Hawkeye,Caudovirales,Siphoviridae,Hawkeyevirus,683_0,Clustered,5,VC_683_0,5,0.6305,0.99999969,0.6305,3,1,1,1.0
1910,Mycobacterium~phage~Hosp,Caudovirales,Siphoviridae,Unassigned,93_3,Clustered,15,VC_93_3,15,0.2799,1.0,0.2799,3,1,1,0.8
1911,Mycobacterium~phage~HufflyPuff,Caudovirales,Siphoviridae,Cjw1virus,740_0,Clustered,21,VC_740_0,21,0.8504,1.0,0.8504,1,1,1,1.0
1912,Mycobacterium~phage~HyRo,Caudovirales,Myoviridae,Bxz1virus,240_0,Clustered,19,VC_240_0,19,0.9147,1.0,0.9147,1,1,1,1.0
1913,Mycobacterium~phage~Inventum,Caudovirales,Siphoviridae,Che8virus,717_0,Clustered,39,VC_717_0,39,0.7035,1.0,0.7035,1,1,1,0.888
1914,Mycobacterium~phage~Iracema64,Caudovirales,Siphoviridae,L5virus,703_1,Clustered,58,VC_703_1,58,0.4894,1.0,0.4894,1,1,1,0.7544
1915,Mycobacterium~phage~JAMaL,Caudovirales,Siphoviridae,Coopervirus,93_3,Clustered,15,VC_93_3,15,0.2799,1.0,0.2799,3,1,1,0.8
1916,Mycobacterium~phage~Jabbawokkie,Caudovirales,Siphoviridae,Che8virus,716_0,Clustered,3,VC_716_0,3,0.0517,0.99852877,0.0517,1,1,1,1.0
1917,Mycobacterium~phage~JacAttac,Caudovirales,Siphoviridae,Pg1virus,93_1,Clustered,20,VC_93_1,20,0.5124,1.0,0.5124,1,1,1,1.0
1918,Mycobacterium~phage~Job42,Caudovirales,Siphoviridae,Che8virus,717_0,Clustered,39,VC_717_0,39,0.7035,1.0,0.7035,1,1,1,0.888
1919,Mycobacterium~phage~Jobu08,Caudovirales,Siphoviridae,L5virus,703_1,Clustered,58,VC_703_1,58,0.4894,1.0,0.4894,1,1,1,0.7544
1920,Mycobacterium~phage~Jolie1,Caudovirales,Siphoviridae,Unassigned,93_3,Clustered,15,VC_93_3,15,0.2799,1.0,0.2799,3,1,1,0.8
1921,Mycobacterium~phage~Jolie2,Caudovirales,Siphoviridae,Liefievirus,713_0,Clustered,9,VC_713_0,9,0.5113,1.0,0.5113,1,1,1,1.0
1922,Mycobacterium~phage~Jovo,Caudovirales,Siphoviridae,L5virus,703_0,Clustered,9,VC_703_0,9,0.0803,1.0,0.0803,1,1,1,1.0
1923,Mycobacterium~phage~Kampy,Caudovirales,Siphoviridae,L5virus,703_1,Clustered,58,VC_703_1,58,0.4894,1.0,0.4894,1,1,1,0.7544
1924,Mycobacterium~phage~KayaCho,Caudovirales,Siphoviridae,Unassigned,93_3,Clustered,15,VC_93_3,15,0.2799,1.0,0.2799,3,1,1,0.8
1925,Mycobacterium~phage~Keshu,Caudovirales,Siphoviridae,Tm4virus,712_2,Clustered,12,VC_712_2,12,0.4468,1.0,0.4468,1,1,1,0.9848
1926,Mycobacterium~phage~Kikipoo,Caudovirales,Siphoviridae,Pg1virus,93_1,Clustered,20,VC_93_1,20,0.5124,1.0,0.5124,1,1,1,1.0
1927,Mycobacterium~phage~Kimberlium,Caudovirales,Siphoviridae,Che8virus,717_0,Clustered,39,VC_717_0,39,0.7035,1.0,0.7035,1,1,1,0.888
1928,Mycobacterium~phage~Konstantine,Caudovirales,Siphoviridae,Barnyardvirus,682_0,Clustered,6,VC_682_0,6,0.6669,1.0,0.6669,2,1,1,1.0
1929,Mycobacterium~phage~Kratio,Caudovirales,Siphoviridae,Tm4virus,712_1,Clustered,5,VC_712_1,5,0.2231,0.99999995,0.2231,1,1,1,1.0
1930,Mycobacterium~phage~LadyBird,Caudovirales,Siphoviridae,L5virus,703_1,Clustered,58,VC_703_1,58,0.4894,1.0,0.4894,1,1,1,0.7544
1931,Mycobacterium~phage~Lamina13,Caudovirales,Siphoviridae,L5virus,722_0,Clustered,46,VC_722_0,46,0.4958,1.0,0.4958,1,1,1,1.0
1932,Mycobacterium~phage~Larenn,Caudovirales,Siphoviridae,L5virus,703_1,Clustered,58,VC_703_1,58,0.4894,1.0,0.4894,1,1,1,0.7544
1933,Mycobacterium~phage~Leo,Caudovirales,Siphoviridae,Liefievirus,713_0,Clustered,9,VC_713_0,9,0.5113,1.0,0.5113,1,1,1,1.0
1934,Mycobacterium~phage~Lilac,Caudovirales,Siphoviridae,Cjw1virus,740_0,Clustered,21,VC_740_0,21,0.8504,1.0,0.8504,1,1,1,1.0
1935,Mycobacterium~phage~LinStu,Caudovirales,Myoviridae,Bxz1virus,240_0,Clustered,19,VC_240_0,19,0.9147,1.0,0.9147,1,1,1,1.0
1936,Mycobacterium~phage~LittleCherry,Caudovirales,Siphoviridae,L5virus,703_0,Clustered,9,VC_703_0,9,0.0803,1.0,0.0803,1,1,1,1.0
1937,Mycobacterium~phage~Llama,Caudovirales,Siphoviridae,Che8virus,717_0,Clustered,39,VC_717_0,39,0.7035,1.0,0.7035,1,1,1,0.888
1938,Mycobacterium~phage~Lolly9,Caudovirales,Siphoviridae,Unassigned,705_0,Clustered,9,VC_705_0,9,0.6441,1.0,0.6441,2,1,1,0.9722
1939,Mycobacterium~phage~Loser,Caudovirales,Siphoviridae,L5virus,703_1,Clustered,58,VC_703_1,58,0.4894,1.0,0.4894,1,1,1,0.7544
1940,Mycobacterium~phage~Luchador,Caudovirales,Siphoviridae,L5virus,703_1,Clustered,58,VC_703_1,58,0.4894,1.0,0.4894,1,1,1,0.7544
1941,Mycobacterium~phage~MOOREtheMARYer,Caudovirales,Siphoviridae,Liefievirus,713_0,Clustered,9,VC_713_0,9,0.5113,1.0,0.5113,1,1,1,1.0
1942,Mycobacterium~phage~Makemake,Caudovirales,Siphoviridae,L5virus,722_0,Clustered,46,VC_722_0,46,0.4958,1.0,0.4958,1,1,1,1.0
1943,Mycobacterium~phage~Manad,Caudovirales,Siphoviridae,Pg1virus,93_1,Clustered,20,VC_93_1,20,0.5124,1.0,0.5124,1,1,1,1.0
1944,Mycobacterium~phage~MarQuardt,Caudovirales,Siphoviridae,L5virus,703_1,Clustered,58,VC_703_1,58,0.4894,1.0,0.4894,1,1,1,0.7544
1945,Mycobacterium~phage~MiaZeal,Caudovirales,Siphoviridae,Omegavirus,723_0,Clustered,3,VC_723_0,3,0.0796,0.99806031,0.0794,1,1,1,1.0
1946,Mycobacterium~phage~MichelleMyBell,Caudovirales,Siphoviridae,Buttersvirus,710_0,Clustered,7,VC_710_0,7,0.2069,1.0,0.2069,3,1,1,1.0
1947,Mycobacterium~phage~Milly,Caudovirales,Siphoviridae,Tm4virus,712_2,Clustered,12,VC_712_2,12,0.4468,1.0,0.4468,1,1,1,0.9848
1948,Mycobacterium~phage~Mindy,Caudovirales,Siphoviridae,Cjw1virus,740_0,Clustered,21,VC_740_0,21,0.8504,1.0,0.8504,1,1,1,1.0
1949,Mycobacterium~phage~Minerva,Caudovirales,Siphoviridae,Omegavirus,723_1,Clustered,2,VC_723_1,2,0.0378,0.95040716,0.0359,1,1,1,1.0
1950,Mycobacterium~phage~MoMoMixon,Caudovirales,Myoviridae,Bxz1virus,240_0,Clustered,19,VC_240_0,19,0.9147,1.0,0.9147,1,1,1,1.0
1951,Mycobacterium~phage~Muddy,Caudovirales,Siphoviridae,Ff47virus,715_0,Clustered,2,VC_715_0,2,0.1374,0.95680456,0.1314,1,1,1,1.0
1952,Mycobacterium~phage~Mufasa,Caudovirales,Siphoviridae,Tm4virus,712_2,Clustered,12,VC_712_2,12,0.4468,1.0,0.4468,1,1,1,0.9848
1953,Mycobacterium~phage~Mulciber,Caudovirales,Siphoviridae,L5virus,703_1,Clustered,58,VC_703_1,58,0.4894,1.0,0.4894,1,1,1,0.7544
